name,address,city,province,zip,country,listing_price,num_of_bathroom,num_of_bedroom,num_of_view,size
Dorice MacCague,8733 Colorado Plaza,Kamloops,BC,I6L 2Q1,Canada,2109825,7,4,2279,3389
Taber Channer,8 Canary Avenue,Kamloops,BC,D4O 3M7,Canada,881100,7,4,3298,1868
Bobbe Munday,7 Logan Lane,New Westminster,BC,A1U 1V1,Canada,267337,2,2,343,1782
Fraser Dagnall,5 Quincy Avenue,Langley,BC,O8O 3O9,Canada,2978546,8,6,2829,4879
Elke Blaxton,9 Village Green Avenue,Vernon,BC,F2D 0K2,Canada,2890154,1,6,2712,606
Gaston Gadie,0916 East Street,Delta,BC,G9E 1D7,Canada,696217,2,0,1505,4383
Hilary Harnetty,51 Lunder Terrace,Kelowna,BC,T9D 9W7,Canada,1812849,3,1,729,419
Layton Trent,76342 Union Parkway,Vancouver,BC,P9J 8H6,Canada,1234304,0,8,944,783
Korney Senior,208 Rigney Park,Nanaimo,BC,A2L 8K6,Canada,1943435,2,0,2302,4684
Celene MacHostie,69984 Hoffman Junction,Kelowna,BC,C0K 6G6,Canada,348523,5,6,1593,3302
Jerrie Simmings,47 Bunker Hill Park,Vernon,BC,K4J 7A9,Canada,3093352,4,4,134,851
Gillie Rhys,8435 7th Alley,Kelowna,BC,N1L 4W6,Canada,1159583,3,4,431,2290
Sibelle Hunnisett,43 Cambridge Crossing,Richmond,BC,C5S 6Z1,Canada,808864,3,2,63,3902
Grant McCartan,23378 4th Point,Vancouver,BC,N6F 4N4,Canada,2377862,6,2,2106,3395
Florella Kinnett,29 Dennis Trail,Victoria,BC,A6V 5B9,Canada,1753225,1,6,1662,4944
Shandy Allaway,17216 Pond Crossing,Kelowna,BC,Z3E 9M9,Canada,767734,3,1,3182,431
Consalve Bison,3 Birchwood Circle,Chilliwack,BC,R6Q 7C2,Canada,2812980,0,0,2622,1119
Euphemia Girogetti,281 La Follette Street,Nanaimo,BC,J7Y 5N1,Canada,256661,3,0,2119,2769
Edyth Statter,8806 Haas Avenue,Maple Ridge,BC,A6L 0G2,Canada,1088594,4,7,1444,2900
Cheri Tollow,586 Trailsway Drive,Langley,BC,I5P 3P4,Canada,1802811,5,3,777,1286
Lidia Pentelo,19731 Lyons Point,Richmond,BC,B9X 1W1,Canada,1868312,8,8,751,3063
Turner McClinton,7493 Jackson Way,Vancouver,BC,D8Z 5S4,Canada,380698,1,5,1181,2352
Nobe Wixon,672 Debs Point,Maple Ridge,BC,T5L 7X8,Canada,1211480,1,1,3044,2147
Kelsey Wellbelove,22015 Wayridge Drive,Nanaimo,BC,Y5W 6X4,Canada,907238,8,4,1663,2469
Elston Vido,5 Carpenter Crossing,Kelowna,BC,H1B 2P6,Canada,1311386,6,1,3104,1507
Francesca Cains,774 Quincy Hill,Nanaimo,BC,Z4I 2K3,Canada,2951035,4,6,2187,4791
Pavlov Kenningham,2 Kings Alley,Delta,BC,E3T 6X2,Canada,283437,8,2,1686,1316
Corrie Brannigan,3044 Forest Court,Victoria,BC,Z3P 4I8,Canada,2240573,0,2,1854,4306
Jasmine Hammerich,614 Macpherson Point,Richmond,BC,J5M 3M2,Canada,2411502,3,1,1408,650
Noelle Brayson,56 Springview Alley,Kelowna,BC,S7B 3N8,Canada,463166,3,7,2384,4793
Clim Bramstom,88871 Sachs Road,Langley,BC,Y7V 5S8,Canada,1332474,0,4,1187,961
Wilek Hallagan,64 Artisan Circle,Kelowna,BC,B6I 3M7,Canada,1286542,8,1,308,684
Hector Castagna,42410 International Plaza,New Westminster,BC,S6G 8C6,Canada,1759401,8,8,1236,2193
Meara Mildner,568 Tony Alley,Victoria,BC,V4E 0H5,Canada,2988063,7,5,618,2865
Cleopatra Maxwell,1 Kennedy Hill,Prince George,BC,A5F 9S5,Canada,2198784,7,1,1007,1223
Galven Mycroft,4474 Northview Hill,Vernon,BC,P3U 0S3,Canada,1458387,3,1,2340,4887
Roxi Trevorrow,0180 Truax Road,Langley,BC,X8D 0J0,Canada,2420467,6,4,2833,2064
Roxine Isard,441 Weeping Birch Park,Vernon,BC,Y6K 4K1,Canada,490845,6,3,639,3936
Joseph MacPaike,65 Tomscot Street,Burnaby,BC,R4K 3C9,Canada,2508688,2,3,1770,2380
Lurlene Barden,9 Vahlen Drive,Kelowna,BC,L9E 7F3,Canada,1209868,2,3,3273,3468
Griffin Rickert,808 Hermina Circle,Richmond,BC,N0M 4U2,Canada,2161886,0,1,1323,2197
Cleo Dunnion,462 Cody Place,Chilliwack,BC,B2K 8N9,Canada,1612597,2,6,2135,4989
Bryn Jeffcoat,756 Bonner Circle,Richmond,BC,V5W 1V8,Canada,942129,1,2,2431,3366
Petronia Rodge,06818 Carberry Lane,New Westminster,BC,D5F 1K1,Canada,2983461,0,1,2356,2923
Amby Cottrill,31888 Bluejay Alley,Richmond,BC,F0T 4M8,Canada,1026426,1,3,2005,3830
Vikki Elham,264 Schlimgen Lane,Burnaby,BC,U3K 4H5,Canada,2694812,4,8,3226,3193
Katie Kollach,955 Bellgrove Center,Richmond,BC,U3C 5K6,Canada,2415254,7,4,2120,3916
Brandais Jeays,098 Arrowood Plaza,Delta,BC,D2W 3M5,Canada,2147114,2,1,2073,2437
Rena Puckring,57996 Badeau Hill,Delta,BC,I4Q 3N2,Canada,2918665,0,6,2223,3577
Dre Duiguid,45 Starling Lane,Surrey,BC,T1M 7Q4,Canada,2218640,8,8,2029,2510
Stanfield Sherringham,1 Donald Center,Coquitlam,BC,M4T 0I5,Canada,2084472,4,5,388,1335
Nickie Everiss,5965 Petterle Pass,Maple Ridge,BC,R1I 2Q9,Canada,1417232,6,3,237,3043
Melany Crippill,22 Melby Junction,Surrey,BC,B3J 6I4,Canada,572336,2,1,3349,2662
Nicki Killwick,80 Sachs Plaza,Vancouver,BC,P1B 6H9,Canada,462654,5,4,283,1033
Jinny Pecha,9 Packers Place,Coquitlam,BC,Y5W 2B2,Canada,937367,7,0,671,697
Consalve Goddert.sf,962 Parkside Pass,Vernon,BC,U2D 1U1,Canada,1198047,0,3,807,2594
Rhoda Platfoot,25658 Rockefeller Road,Chilliwack,BC,G5H 1C4,Canada,2670957,8,0,2369,1450
Renado Ebbing,8 Green Parkway,Abbotsford,BC,P4S 5Z2,Canada,2704136,4,6,2357,2310
Towny Pallaske,158 Becker Place,Vernon,BC,Q1N 4N2,Canada,864467,3,6,1130,2123
Barney Andrez,27073 Golf Course Drive,Delta,BC,H6B 0T5,Canada,2594601,6,7,2925,941
Friederike Heephy,664 Glendale Trail,Prince George,BC,N5G 6C0,Canada,541616,4,4,2853,3123
Tessy Dubery,4 Hollow Ridge Place,Vancouver,BC,F7Q 6T2,Canada,337533,7,1,2282,1541
Starlin Marklund,2 Mariners Cove Circle,Kamloops,BC,Y2F 8K3,Canada,516601,6,2,225,3277
Bertina Ronayne,5 Carpenter Park,Surrey,BC,E5S 3V6,Canada,2937639,2,8,3030,1829
Stoddard Bolin,9 Fremont Crossing,Victoria,BC,F3Z 3Q0,Canada,647687,5,4,788,2718
Vanny Watman,0894 Fairfield Alley,Richmond,BC,M7W 4Y7,Canada,2341255,1,2,609,4333
Anissa Yerbury,4 Hoffman Parkway,New Westminster,BC,P4X 4M2,Canada,1613207,0,6,872,2414
Ganny Murtimer,5286 Esch Circle,Kelowna,BC,N5O 5D0,Canada,1305889,3,1,2064,363
Fielding Arnott,2 David Road,Langley,BC,A8H 6G7,Canada,3090516,3,4,2221,726
Selig Bosanko,89 Gulseth Parkway,Vernon,BC,C1L 7B6,Canada,2471432,4,2,2896,3050
Koo Ezzle,927 Merry Trail,Langley,BC,H4U 6H4,Canada,2201781,4,4,1103,642
Lilyan Joberne,46377 Anthes Avenue,Delta,BC,Y5P 0E5,Canada,663354,1,2,1033,2829
Ronnie Trueman,4 Riverside Terrace,Richmond,BC,J9G 6Z6,Canada,1799859,6,3,1599,496
Wendie Patters,24068 Schlimgen Terrace,Victoria,BC,E9T 8H9,Canada,2515426,1,5,869,862
Denise Andress,8 Katie Road,Delta,BC,J5Q 1U8,Canada,2093540,0,4,466,3074
Oriana Livock,7361 Mallard Way,Chilliwack,BC,U4Z 2T3,Canada,2491299,5,2,827,3994
Lorelle Nitti,5117 Banding Way,Kamloops,BC,G4Q 7E1,Canada,1712316,1,3,1100,3871
Paule Segeswoeth,07415 Eliot Lane,Prince George,BC,L6U 1D9,Canada,1899579,8,3,1904,474
Tomas Humphery,48795 Mosinee Trail,Victoria,BC,C4T 7K1,Canada,595161,5,0,2615,3899
Goddard Drysdale,03985 Porter Court,Langley,BC,M7R 0V1,Canada,2019250,4,2,2215,2758
Ettie Pavier,591 Daystar Trail,Richmond,BC,A2M 3P7,Canada,2760400,8,6,2945,4409
Delinda Hubbock,0758 Burrows Lane,Victoria,BC,H1O 5N2,Canada,1147027,7,2,526,1238
Karry Ferrillio,31 Warrior Park,Abbotsford,BC,X0V 6R4,Canada,2429425,5,6,2065,4896
Caterina Mateos,94320 Harbort Trail,Burnaby,BC,L9P 9C5,Canada,656445,6,0,652,2938
Wandis Dust,957 Maywood Parkway,Vernon,BC,B3U 6Y8,Canada,1712764,2,4,3043,3046
Konrad Sparkwell,6 Golf View Parkway,Surrey,BC,N2F 7A3,Canada,1383506,1,3,3344,659
Faustine Matz,937 Kinsman Park,Abbotsford,BC,N5H 1C8,Canada,2465303,5,3,289,4915
Raf Pauncefoot,3399 Mcbride Parkway,Maple Ridge,BC,X9Z 5B2,Canada,3047435,2,7,2503,2378
Devon Claque,70 Lunder Alley,Nanaimo,BC,K1E 8V4,Canada,763467,7,2,2111,4819
Trev Burfoot,61581 Scott Plaza,Burnaby,BC,R5C 3S6,Canada,1010125,5,6,1554,3659
Crichton McIan,75764 Brentwood Parkway,New Westminster,BC,B4X 8Z9,Canada,308532,0,7,153,654
Mei Bourtoumieux,42 Tennyson Center,Kamloops,BC,P6P 9B3,Canada,357268,1,1,3242,2227
Sargent Keyse,61505 Ronald Regan Trail,Richmond,BC,C6G 8T8,Canada,2284373,3,3,2536,2757
Kit Gidney,34 Graceland Center,New Westminster,BC,D5O 8C4,Canada,1696729,1,2,116,4300
Clemmy Blunt,044 Armistice Terrace,New Westminster,BC,M2O 1O6,Canada,1261702,1,6,528,653
Cesaro Radden,37 Russell Drive,Surrey,BC,D5V 7R0,Canada,2218506,8,3,1288,4177
Madelon Stanlike,4927 Atwood Alley,Nanaimo,BC,Z4X 5I3,Canada,404184,8,3,1269,1601
Mella Sager,28983 Vahlen Way,Prince George,BC,Z7Q 2M9,Canada,2210116,1,4,2858,3389
Seumas Arniz,18 Scofield Court,Maple Ridge,BC,M0P 7T9,Canada,2479539,3,8,1410,978
Irene Jindacek,2043 Jay Junction,Nanaimo,BC,W6U 2C9,Canada,2994760,6,2,3160,2754
Ermin Parker,13 Walton Plaza,Vancouver,BC,T7K 4V0,Canada,2165818,4,5,3048,1832
Agathe Stobbs,27 Dorton Circle,Chilliwack,BC,V4P 9K6,Canada,3072235,0,2,2629,2153
Wenda Paal,7 Hanover Center,Burnaby,BC,P8N 6N7,Canada,2945350,6,5,649,4747
Corry Ladbury,1003 Westerfield Circle,Vancouver,BC,M8Y 0I5,Canada,397084,4,3,584,1369
Alfonse Esposito,4133 Melrose Crossing,Kamloops,BC,S9O 1W2,Canada,1582269,0,2,1365,2817
Alair McCahill,7100 Village Green Park,Maple Ridge,BC,L1D 0B7,Canada,2023587,3,0,3365,1164
Celka Farndon,3 Eastwood Pass,Chilliwack,BC,Y8R 9F3,Canada,1626304,1,3,2553,3937
Laurent Gisborne,53 Northridge Center,Kelowna,BC,G8Z 8J4,Canada,1120879,2,2,3337,3179
Feliza Emeney,090 Ludington Lane,Surrey,BC,T5D 9W9,Canada,2919866,5,2,3093,432
Myrna Line,052 Cottonwood Crossing,Vancouver,BC,A6L 0W3,Canada,548636,6,2,654,4855
Laurene O' Mullan,9487 Elka Road,Delta,BC,O2I 9E9,Canada,1157868,5,8,2103,915
Jozef Cormack,64 Melby Park,Vernon,BC,X5G 9R2,Canada,1465050,5,7,2733,3154
Pieter Snar,4056 Doe Crossing Point,Abbotsford,BC,S9G 5W5,Canada,1325364,7,3,3053,675
Latrina Bellino,2926 Corben Center,Victoria,BC,D2L 8O7,Canada,1762486,2,7,2469,4971
Ellene Popworth,8 Mandrake Junction,Maple Ridge,BC,C7E 3C1,Canada,709968,3,0,1306,2829
Emanuel Kinworthy,1 Cody Road,New Westminster,BC,V1R 0D9,Canada,2735692,4,4,3124,3521
Onida Lowdes,5 Erie Avenue,Victoria,BC,B3E 5B3,Canada,2707582,8,6,618,728
Waylin Godfery,5475 Trailsway Avenue,New Westminster,BC,Q6F 0D9,Canada,931130,7,6,567,1166
Niels Eldredge,795 East Alley,Chilliwack,BC,U9L 5F9,Canada,3083937,7,1,1312,1483
Jimmy Schaumann,61 Monument Terrace,Victoria,BC,T3T 4N7,Canada,2177689,1,1,195,1297
Nicola Fulun,872 Dennis Drive,Kamloops,BC,Y1A 4X8,Canada,2142210,4,8,2904,820
Brita Goldingay,7 Judy Place,Abbotsford,BC,Z9B 5S8,Canada,1190047,4,7,2687,3683
Beret Kops,62 Birchwood Lane,New Westminster,BC,T6D 7U4,Canada,2252246,6,0,89,2617
Petr Pagden,3 Lerdahl Center,Delta,BC,A6J 9D3,Canada,698648,3,4,262,4596
Aland Cordel,0649 Tennyson Road,Chilliwack,BC,W5D 0Q6,Canada,2622591,3,1,561,3828
Alair Mosco,5 Cherokee Hill,Kamloops,BC,D9K 8I5,Canada,2243920,6,3,2456,1917
Leonerd Ardling,69 Prairieview Court,Coquitlam,BC,M1O 1K9,Canada,2803887,3,0,2397,4442
Welsh Plomer,86 Dahle Court,Kelowna,BC,N9N 8H5,Canada,471334,4,6,2068,1207
Flo Checketts,0371 Delaware Junction,Nanaimo,BC,V5V 9W6,Canada,2048731,4,7,246,2028
Robenia McCloid,20874 Welch Trail,Langley,BC,P7H 3V3,Canada,1657879,3,8,1200,1752
Dallas Brecknock,09 Packers Lane,Abbotsford,BC,M7T 0P2,Canada,2543178,7,4,999,4020
Lynnelle Ewbanche,476 Blackbird Plaza,Victoria,BC,W2V 5I7,Canada,2735581,0,1,1806,4410
Dottie Jinks,4 Arkansas Center,Kamloops,BC,C9M 8U6,Canada,2207421,1,5,2554,4809
Svend Hanalan,27 Loftsgordon Alley,Nanaimo,BC,K8A 4P5,Canada,1779363,8,7,622,3825
Margalo Kenworthey,24968 Surrey Alley,Richmond,BC,E5C 3C8,Canada,673883,0,6,3326,2485
Devlen Riccio,3731 Sachtjen Parkway,Abbotsford,BC,T0W 5K8,Canada,1726999,3,7,2240,2117
Melli Midden,60 Macpherson Avenue,New Westminster,BC,Q5D 6K2,Canada,1983383,2,6,311,3388
Nicki Lademann,2 Florence Pass,Delta,BC,P2L 2L8,Canada,876382,7,3,3134,1969
Amity Farloe,7 Forest Run Hill,Coquitlam,BC,F1O 7Y2,Canada,3127113,7,6,1324,1694
Jordana Conachie,39340 Burrows Alley,Abbotsford,BC,R7F 1H3,Canada,996563,5,8,493,1251
Anni Mucklestone,593 Dorton Way,Vancouver,BC,M3Z 7A8,Canada,973883,8,3,2925,4643
Pail Willstrop,23 Bowman Terrace,Langley,BC,K9Q 0K7,Canada,2452324,6,6,1130,1663
Maribel McClintock,300 Kropf Way,Prince George,BC,M7S 0E8,Canada,1485832,8,6,2862,2145
Jeana Gravet,45119 Wayridge Terrace,Prince George,BC,U8S 7P1,Canada,1904754,5,4,2392,2899
Roxine Reilly,0 Surrey Court,Kamloops,BC,A9B 3G2,Canada,1551651,6,6,129,2383
Jennica Salvatore,1 Butternut Place,Surrey,BC,Q8S 0G3,Canada,3034073,0,2,2270,1770
Muffin Peirson,5994 Eastlawn Plaza,Vernon,BC,Q8V 0S5,Canada,3046719,4,7,3199,2345
Lyell Dowding,5 Schurz Hill,Prince George,BC,B0G 2B8,Canada,2878264,8,7,2470,2859
Romona Peck,4 Birchwood Avenue,Langley,BC,A0N 3E5,Canada,2757830,2,6,3336,953
Silvan Holstein,25 Montana Terrace,Victoria,BC,V9J 5S2,Canada,717505,0,2,2617,1372
Perice Dziwisz,1 West Lane,Maple Ridge,BC,N9Z 9Q1,Canada,643225,0,7,856,4573
Galven Rodgier,91 Stephen Road,Chilliwack,BC,R3E 5U4,Canada,950247,8,6,2500,510
Bondie Sute,6 Dryden Pass,Richmond,BC,Z5B 4T4,Canada,2914425,4,4,2472,1779
Bertina Bownass,5 Loomis Trail,New Westminster,BC,K8D 9B3,Canada,3142225,1,7,1599,627
Aubert Croce,67321 Dawn Road,Vancouver,BC,N8C 4D1,Canada,2094941,3,0,2678,499
Cortney Rofe,522 Clove Junction,Prince George,BC,V3Z 8L8,Canada,884696,8,0,3211,1156
Juli Reicherz,3592 Loeprich Pass,Prince George,BC,Y0H 1O6,Canada,1088409,0,8,1056,1844
Zacharias Alderman,76696 Butternut Crossing,Kelowna,BC,A7C 9W3,Canada,2064267,4,3,1295,3459
Abagail Liver,806 Grover Parkway,Kamloops,BC,N7D 0U1,Canada,1194292,5,6,1905,3231
Talia Runnett,5673 Karstens Lane,Chilliwack,BC,R6S 8V1,Canada,1314473,6,8,2664,2995
Junia Kedslie,1 Summer Ridge Park,Vernon,BC,G4E 5F8,Canada,2919738,3,6,2149,3365
Woodie Fynan,320 Jana Hill,Burnaby,BC,E7V 5B4,Canada,1093061,0,1,2584,380
Dorothee Middlebrook,5836 Scott Lane,Burnaby,BC,Z2K 0D3,Canada,1918799,5,8,896,1216
Barby Halliwell,669 Meadow Vale Circle,New Westminster,BC,G2O 4P9,Canada,599404,4,6,1406,2136
Audre Arling,002 Del Sol Plaza,Chilliwack,BC,S1X 9A4,Canada,1596678,8,3,2600,688
Dick Dowgill,919 Valley Edge Road,Delta,BC,Z4Q 5V5,Canada,1788692,6,1,1854,1162
Leisha Goering,0115 Northland Park,Burnaby,BC,Y0D 2E6,Canada,2374141,1,8,2161,1819
Jameson Mowling,021 Sheridan Lane,Chilliwack,BC,O1Y 9P2,Canada,231344,1,7,2513,3944
Cassie Stolze,6 Packers Alley,Richmond,BC,R0Q 7K1,Canada,1722164,5,6,1710,2428
Hakeem Cuell,27972 Gerald Drive,Vernon,BC,H5L 6W3,Canada,1284222,1,1,105,1149
Goraud Martel,145 Dottie Road,Abbotsford,BC,K6H 4M3,Canada,2164563,8,8,2732,489
Andee Lourens,98 Namekagon Street,Prince George,BC,H3B 4M3,Canada,1216221,0,2,145,1719
Vittorio McGrirl,1 Fairview Hill,Chilliwack,BC,R3Q 6V5,Canada,842347,5,8,3193,4856
Valera Parmley,89314 Stang Point,Burnaby,BC,M1F 7J8,Canada,365406,1,3,1062,2358
Bale Dilland,64800 Washington Court,Surrey,BC,K9O 7E4,Canada,798605,8,1,1205,3410
Carlyn Gateland,21 Ridgeview Avenue,Langley,BC,B5C 7W1,Canada,774116,7,2,1574,410
Jacqueline Grisdale,45193 Hansons Crossing,Richmond,BC,X4G 9T2,Canada,3018561,0,6,1341,1323
Whit Gaize,8 School Center,Chilliwack,BC,K2A 7V3,Canada,743477,0,8,257,2800
Robbie Cristofolini,788 Gulseth Park,Abbotsford,BC,Y0P 3L4,Canada,880515,8,8,1004,1066
Dene Farrens,01086 Schurz Road,Surrey,BC,C3C 4L6,Canada,761200,1,3,859,3788
Hermann Karlolczak,66 Roth Parkway,Kelowna,BC,S6L 6Y6,Canada,243567,7,0,274,1425
Standford Cutler,6 Derek Plaza,Vancouver,BC,S4T 0G6,Canada,933456,1,8,551,2223
Laverna Phalp,42530 Burning Wood Circle,Maple Ridge,BC,N6I 7X0,Canada,2611521,3,1,1589,3472
Nicolette Honig,45627 Nova Lane,Coquitlam,BC,H0Q 5R6,Canada,1707631,1,5,3003,2133
Elfrida Norcock,10975 Evergreen Court,Abbotsford,BC,A4L 8G8,Canada,1914569,7,7,1127,4675
Conway McLorinan,7 Maryland Hill,Nanaimo,BC,A8A 9F2,Canada,1208007,5,4,2712,1573
Saleem Drew-Clifton,898 Cordelia Junction,Coquitlam,BC,F8F 8S1,Canada,3085580,3,1,3402,3125
Gaspar Witcher,98605 Kipling Pass,Surrey,BC,E4S 9Y1,Canada,217890,6,0,2123,3096
Kaleena Mathey,31 High Crossing Terrace,Maple Ridge,BC,X4S 4L5,Canada,2479981,8,1,1022,2692
Lonnie Gounot,1 Basil Trail,Prince George,BC,J9P 1M4,Canada,3187481,1,7,2696,1688
Rozele Cusick,78 Gulseth Avenue,Langley,BC,Z0E 9P9,Canada,1417083,6,6,175,1634
Morganne Hawkslee,93 Sunfield Center,Kamloops,BC,U9B 1K8,Canada,1899060,4,6,2034,4699
Brent Yesinin,0827 Bonner Drive,Victoria,BC,R8F 3Q9,Canada,1057019,8,4,1476,2261
Clayson Roome,2854 Schurz Plaza,Chilliwack,BC,C1N 3V2,Canada,505449,2,6,2123,2486
Reena MacKibbon,894 Randy Junction,Surrey,BC,S3V 6R4,Canada,1961005,5,8,2728,2429
Rochella Sharrem,5 Hanover Point,Vernon,BC,I6J 0F6,Canada,1968412,3,4,1441,957
Agnese Kitney,46777 Beilfuss Way,Surrey,BC,K2V 1M6,Canada,2790490,4,8,2695,4829
Nikita Kundert,834 Charing Cross Alley,Vernon,BC,G5J 1U4,Canada,1968498,2,7,2274,2154
Morse Grasner,265 West Lane,Richmond,BC,Y6E 7U9,Canada,2285918,1,7,1545,4161
Binni Valens-Smith,51813 Green Ridge Place,Surrey,BC,D9A 0H7,Canada,2198203,1,2,821,1388
Korey Dimmock,28 Annamark Circle,Nanaimo,BC,A7G 8U9,Canada,2314648,6,4,3269,2548
Lew Lacky,0854 Monica Circle,New Westminster,BC,T0O 1H0,Canada,1341524,0,0,1550,4023
Sylas Schulken,198 Saint Paul Junction,Burnaby,BC,E0D 9C0,Canada,2256283,5,1,506,4547
Celine Attack,565 Orin Park,Surrey,BC,T0M 3D5,Canada,1247286,3,5,1994,4529
Welbie Moryson,53075 Cambridge Court,Kamloops,BC,A1W 0O5,Canada,2973708,6,2,33,1181
Orbadiah Follit,3120 Dayton Circle,Maple Ridge,BC,K8S 5K8,Canada,720660,8,6,3132,4933
Lita McGrotty,3437 Cherokee Place,Chilliwack,BC,T6B 9Z8,Canada,2095743,2,6,240,4979
Ortensia Goncaves,81271 Bluestem Way,Abbotsford,BC,X6D 7A7,Canada,1195523,8,4,3377,593
Stella Berndsen,2 Badeau Circle,Chilliwack,BC,U6H 6F4,Canada,1336439,8,0,3378,1712
Elonore Posse,4 High Crossing Center,Maple Ridge,BC,Q1I 6E4,Canada,748001,5,0,950,4680
Moyra Beumant,1574 Michigan Park,Abbotsford,BC,I7K 8Q4,Canada,2073848,5,5,370,4982
Wenonah Coulter,0454 Everett Junction,Kelowna,BC,I7X 4S3,Canada,2739891,8,3,2064,3276
Doug Galilee,5 Bobwhite Court,Prince George,BC,B1H 4W5,Canada,2716346,2,5,706,3207
Dionis Wallhead,9258 Loftsgordon Lane,Kamloops,BC,F3Y 9B2,Canada,310527,7,6,2923,3555
Theresita Rice,32721 Lawn Parkway,Surrey,BC,L8X 8K5,Canada,703569,0,8,1414,4218
Cheryl Painswick,899 Fairfield Plaza,Kamloops,BC,S2A 9U4,Canada,1064298,0,4,98,2944
Xena Lownds,2 Jackson Way,Maple Ridge,BC,Y7E 4A0,Canada,780312,3,7,848,2396
Alejoa Wightman,73 Pierstorff Lane,New Westminster,BC,O5R 8K7,Canada,1129762,3,4,2055,4645
Clarie Thurber,96 Forster Street,Nanaimo,BC,S4M 3R7,Canada,3080641,2,4,2758,994
Lorene Britee,9 Quincy Road,Kamloops,BC,Z1W 9B9,Canada,2502083,8,8,2332,3500
Tobias Jeanequin,3 Lyons Way,Abbotsford,BC,M6K 2U8,Canada,480654,4,3,142,1909
Brandy Kochel,47 Mitchell Drive,Kamloops,BC,I3S 7V1,Canada,434897,6,4,1790,3780
