name,address,listing_price,num_of_bathroom,num_of_bedroom,num_of_view,size
Miles Gonzales,313 Crescent Oaks Circle,3462503,8,1,2434,1953
Drucy Zappel,4676 Del Sol Center,3900115,3,3,4412,2218
Amalea Millott,8936 Barnett Way,3042624,4,8,3946,1506
Corissa Busson,48052 Northfield Place,4458051,1,4,4211,926
Kacey Arro,068 Algoma Crossing,1698091,0,0,1723,3189
Thorpe Doust,4 Utah Lane,3826900,5,5,1079,2312
Augustine Benck,8 Mariners Cove Terrace,2768277,1,5,2471,751
Sharl Elmer,66177 Cardinal Trail,4067068,1,3,5230,413
Charmane McCafferky,5659 Cascade Drive,574144,0,4,5121,1574
Ewen Gresham,7 Katie Hill,1077085,2,4,67,1253
Abbey Marwood,65 Nobel Hill,920407,3,1,932,2269
Peg Bonifacio,452 Dovetail Place,252912,2,5,4120,896
Courtnay Theuff,0625 Scofield Lane,3779442,8,7,937,285
Marie-ann Goullee,7320 Kensington Road,2929518,2,0,3139,2246
Edsel Aldiss,0 Crest Line Drive,4997661,1,8,4510,49
Sandy Chilvers,56014 Ilene Place,4754771,7,5,5189,2112
Darb Millen,2507 Columbus Drive,4087642,5,5,686,1045
Godart Glasscoo,1457 Clove Drive,1264838,0,0,460,2390
Davin Baszniak,09 Meadow Ridge Junction,4690539,1,4,309,220
Valentine Danilov,4292 Kensington Junction,1938200,0,4,813,134
Wenona Trinbey,86 Debs Point,2614336,5,0,3236,1491
Curcio Gillman,46546 Carberry Parkway,3494505,4,2,2942,1103
Pattin Janaud,25 Lake View Trail,1099340,5,2,561,613
Delmore Gabits,5091 Jackson Court,1679803,1,5,2397,2227
Dalenna McKain,70 Sutherland Hill,1768389,4,4,1037,2917
Eleen Farreil,7 Donald Way,3865542,2,0,2237,2614
Liliane Lees,2 Pond Street,3690478,7,8,3119,1429
Cynde Murby,6 Miller Road,2628273,3,3,3828,3290
Irvin Forrestall,6 Londonderry Plaza,1636358,3,8,2264,1475
Claudina Garrelts,4984 Arapahoe Street,365769,1,2,233,2635
Catrina Rolls,2861 Lerdahl Lane,1187927,0,1,4381,1597
Dulsea Kuhn,342 Cascade Hill,584042,3,5,1803,2177
Adele Voase,066 Fieldstone Hill,3802197,5,0,1684,1794
Clare Spick,02 Fallview Park,4235725,5,4,680,418
Stepha Iorizzi,89 Alpine Point,2035489,8,2,2149,2737
Emelina Shipsey,53081 Hallows Place,2366433,1,6,1115,1926
Merci Robbs,73124 Graedel Center,4641728,5,5,1151,2438
Tobit Basek,0583 3rd Park,2474687,2,1,4642,753
Roseann Barts,853 Johnson Place,1855633,5,2,4013,55
Fletcher Ansty,082 Green Ridge Park,4461668,8,5,4478,701
Morganica McGregor,7 Rusk Street,2590775,7,3,4894,1395
Lorene Banasiak,0 Marcy Street,358363,1,8,335,3029
Riva Fleischmann,34440 Oriole Road,1597450,4,2,4856,2291
Enid Capelin,2 Oneill Street,2814136,6,7,5169,1111
Barb Poolton,889 Debra Center,700502,1,0,3604,601
Steffen Roffey,88766 Milwaukee Terrace,3323757,5,2,2844,812
Arnuad Garton,07944 Park Meadow Crossing,2801950,4,2,4287,1800
Dur Drache,7 Starling Circle,925421,6,3,5422,3355
Carson Borges,232 Clarendon Junction,3142950,6,5,1576,1123
Vivie Eckley,77021 Armistice Hill,1435875,4,8,3817,243
Noelani Penketh,54 4th Trail,855607,1,5,1816,1764
Shelbi Wytchard,54552 Northwestern Point,1182569,4,6,4481,1661
Roseanna Doncom,56387 South Junction,2243144,3,5,927,1938
Eugenie Snedden,74 5th Avenue,4378472,3,1,2680,9
Batholomew Giorgini,71239 Tennyson Way,811372,8,6,4605,533
Lew Dutson,9979 Florence Park,692364,6,5,3274,80
Laney Leroux,07481 Wayridge Place,3047493,4,8,3118,632
Gussi Duferie,1 Portage Drive,4532869,8,4,829,1028
Berkly Micheau,014 Bunting Circle,4732857,2,4,1299,2827
Domeniga Dank,816 Linden Junction,4165501,6,7,3997,1707
Veronike McJarrow,60341 La Follette Plaza,310613,8,1,1106,2442
Cart Bewley,13 Burrows Crossing,4503047,2,0,4859,2367
Wynny Gibke,96 Meadow Valley Parkway,2247973,2,0,2870,976
Maia Todhunter,1781 Anthes Junction,1231899,2,1,4787,3435
Renelle Cusack,86213 Dorton Point,4676778,4,1,2553,2145
Nessa Hagerty,9 Arapahoe Park,3972084,1,7,4308,1413
Tynan Burkill,9108 Gulseth Terrace,4754275,7,3,3763,2129
Sheelah Simenel,850 Texas Terrace,2666529,8,5,2946,2419
Wren Swetman,3 Lakewood Gardens Plaza,3917849,2,0,1182,2271
Rhea Schukraft,4183 7th Crossing,2914415,5,7,423,481
Der O'Rudden,196 Drewry Place,4122178,2,5,3549,3082
Cornelius Ivanisov,992 Bobwhite Point,1985479,1,7,5370,342
Jenny Donnan,089 Hauk Park,1432360,1,6,637,2119
Marcelia McCerery,815 Lerdahl Crossing,750503,1,5,2288,2158
Marci Beckwith,79418 Scott Point,1448818,4,4,2810,3143
Henriette Peinton,45 Comanche Way,4352455,3,6,1366,1118
Amabelle Cotter,49631 Oneill Parkway,898390,5,4,201,1786
Angela Verbrugge,48127 Springs Lane,688487,3,3,2901,3348
Odille Foulger,959 Grayhawk Plaza,2139973,5,1,3867,3457
Ilise Dyshart,9 Londonderry Alley,3868527,0,3,4657,2744
Othilie Vasiliev,70384 Hollow Ridge Way,1114836,8,3,3030,496
Charmain Ralestone,6 Grim Road,3038396,5,3,3690,1015
Lorens Neames,5 Caliangt Center,4480482,0,7,294,1579
Lanny Spilsbury,6641 Lyons Way,1500337,0,3,1466,3309
Sergio Dossettor,09820 Melrose Circle,1567276,0,7,1235,689
Sophronia Ledstone,327 Coleman Avenue,972258,2,1,1861,1900
Tildi Brinklow,64 Fairview Road,2494965,1,6,1975,1694
Ximenes Cazin,5486 Karstens Terrace,4495764,8,2,3910,2562
Maribel Rosendorf,2137 Elmside Parkway,2177349,4,5,3508,309
Ammamaria Dunwoody,6446 Continental Street,2076804,7,4,5361,1703
Nicolette Blumer,35141 Reindahl Pass,2509246,4,8,5080,331
Leora Sillis,8 Gale Place,1093757,2,2,1085,2684
Remus Brittle,2 East Crossing,4965342,2,0,4972,1262
Denny Fellnee,474 Warrior Center,4594763,0,0,1493,230
Deck Kensington,74 Del Sol Center,3367957,5,2,3059,1640
Bennie Alcott,6 Carpenter Junction,4051366,7,0,24,1654
Dalenna Hartas,5099 Scott Parkway,3353625,7,0,4750,734
Inez Freckleton,03 Monterey Junction,4969507,1,2,1245,2529
Cristionna Raffon,6 Mendota Lane,4501179,3,4,2409,1466
Tyrone Bartrum,2058 Westerfield Parkway,2501459,8,5,383,685
Dulci Courtese,1 Porter Avenue,4206710,6,5,2770,2924
Haydon Burnip,874 Del Mar Junction,299877,4,3,1962,790
Donia Johnys,464 Montana Street,3772055,8,5,2725,762
Lydia Morey,568 Union Hill,708229,5,6,4468,843
Gary Trawin,07563 Hanson Park,977380,6,1,5360,1647
Cornelius Warters,950 Jackson Park,2759216,6,5,4798,2616
Vanni Andryszczak,94 Scott Crossing,3443074,1,5,5410,1980
Eberhard Gosenell,8 Sugar Hill,3469764,5,1,4277,3366
Reg Duxbarry,8 Pleasure Crossing,1412951,3,1,5481,3002
Gardner Jackes,72128 Dovetail Place,4035827,7,0,1631,1134
Parry Cleere,20174 Northridge Avenue,1300887,8,4,2950,1815
Lonni Rubenchik,71961 Crescent Oaks Alley,3747345,8,4,4970,2940
Deb Paireman,585 Maple Wood Circle,3987828,7,2,816,2664
Robers Fishly,153 Fuller Street,1103510,4,1,2011,896
Evie Audsley,865 Glacier Hill Place,3056414,1,1,2581,3110
Gayel Frankland,1932 Grim Drive,3394142,0,3,3362,2452
Peg Licciardello,9 North Trail,1355548,3,5,1584,2779
Henri Regis,180 Lake View Crossing,3288404,0,8,2788,16
Winna Kenney,15 Little Fleur Court,343734,3,7,288,1903
Deirdre Callendar,0286 Glendale Court,2172524,7,6,1867,2059
Archibold Kures,0 Westend Junction,3782815,3,7,3254,2166
Mort Midner,1 Burrows Street,2199841,4,0,1946,946
Nonie Faunch,7 Ridgeway Terrace,4527476,4,2,2678,3158
Shane Challin,096 Heffernan Drive,2692478,1,7,3453,391
Dick De Maria,66 Toban Circle,3265689,4,7,4241,1958
Hilde Gallear,9908 7th Place,3854215,4,4,1226,1887
Johan Benediktovich,9197 Mayer Way,2828534,6,3,1326,2526
Arlene Charters,8722 Valley Edge Center,386871,3,5,2909,570
Cornie Hardey,192 Moland Drive,3765333,4,6,4619,2967
Jo Charrette,51878 1st Hill,743516,3,7,1501,943
Gene Tilley,4 Florence Point,351451,8,6,63,3152
Udale Hyland,45 Arizona Parkway,1442996,6,5,5202,1355
Ralina Ouldred,41383 Namekagon Pass,4434502,3,2,5078,3500
Georgiana Pearcehouse,541 Kingsford Alley,3058964,8,8,2916,1028
Ddene Dayborne,31247 Nevada Hill,4728662,0,2,4635,586
Eldon Romke,90 Autumn Leaf Plaza,3070718,6,2,1951,3360
Pooh Teresa,63647 Magdeline Avenue,2884147,5,3,3664,1487
Egan Weekland,79 Emmet Road,3419973,6,4,3454,3306
Shirline Tomalin,3 Morningstar Alley,1263556,4,3,1194,2263
Paddy Heijne,97021 Kedzie Hill,3957763,7,4,501,1970
Alexio California,7971 Green Circle,1656290,7,8,3361,3407
Marybelle Sore,24 Valley Edge Lane,1672395,5,1,3284,622
Allan Krammer,19698 Sauthoff Road,2578521,4,7,1890,331
Andria Gout,74912 Lighthouse Bay Crossing,1353398,6,6,4384,3208
Jordain Mullender,12 Helena Parkway,4326848,4,3,396,3425
Ellsworth De Laci,717 Sachtjen Drive,3148793,8,0,4800,3005
Maressa Whymark,1796 Comanche Trail,3279035,1,2,1183,3031
Estele Niset,21958 Nobel Drive,1144857,4,3,1682,2334
Carlie Scholig,3 Monument Plaza,1889996,4,6,326,1992
Biron MacRinn,1 Scoville Terrace,3498529,4,1,5165,2606
Valli Showalter,52 Forster Crossing,1642855,3,4,4955,118
Jennilee Ricca,01 Loomis Road,3782185,6,4,251,784
Georgena Heald,806 Dottie Center,4214785,3,1,265,2355
Haslett Goare,3 Everett Crossing,3359716,7,5,2333,1609
Tobe Hendrich,80509 Comanche Center,2053991,4,3,3921,1107
Greggory Impey,47340 Hazelcrest Point,3691883,0,1,3979,1000
Winnie Bushel,3346 Everett Circle,2270511,5,4,3806,2974
Alicea Quinnell,76 Upham Place,2644910,8,7,3597,260
Phineas Alexandersen,17491 Claremont Parkway,3806199,6,6,2843,11
Jay Goggin,7412 Oak Junction,4254896,0,3,5262,1257
Barris Coneron,5 Mcbride Way,1845241,4,4,161,3095
Bunni Kaasman,877 Stoughton Plaza,4873706,8,5,4713,0
Leanora Deakins,121 Carberry Street,4837680,1,4,3502,1568
Aeriell Hardistry,01 Farmco Place,4441383,5,8,4211,2909
Gerianna Maden,05085 Jenifer Park,4539956,0,1,4685,3115
Jackie Dunmuir,965 Loomis Lane,1954440,6,6,254,1523
Dorian Dowsett,22813 Meadow Vale Street,902016,8,8,308,2267
Eadie Doxsey,0 Mesta Point,4321899,0,5,4024,3411
Humphrey O'Malley,90807 Carey Hill,996092,8,7,5413,646
Florenza Burthom,59 Pond Circle,867829,4,5,4381,1311
Raddie Marquot,9017 Washington Drive,1490557,2,4,2698,829
Rafaelita Robilart,46 8th Way,4341910,1,0,4863,400
Cecilio Deluze,71 Fremont Parkway,686863,8,3,2472,1757
Nissie Ordemann,4 Eagle Crest Parkway,2526634,2,6,3828,2677
Stesha Blackmoor,13759 Straubel Lane,2253657,1,6,2880,500
Gill Hasty,63 Hoepker Trail,4210567,0,6,4425,68
Lauren Pasticznyk,2637 West Parkway,4584969,2,2,2596,2174
Denny Knok,43550 Tomscot Plaza,4571936,8,0,300,2851
Dorelia Allcoat,195 Prairie Rose Pass,4222580,7,0,2471,1957
Thorin Starmont,3211 Rieder Lane,2017575,7,2,916,2305
Ronnica Domanek,48568 Gale Junction,4488467,1,3,762,1271
Garland Beller,938 Crest Line Avenue,1824530,5,2,4950,844
Leone Rousby,21419 Dorton Park,1692407,1,0,5096,3352
Morrie Van De Cappelle,8 Oxford Parkway,2227202,8,0,3786,2293
Miquela Endrici,8763 Quincy Avenue,1924520,5,3,3327,1083
Kippy Sybe,18134 Banding Park,2402001,7,5,2999,776
Enrico Ewestace,5885 Ridgeway Point,1928632,1,1,2641,2110
Christie Williscroft,6 Dapin Center,3277259,6,6,5279,2644
Nerty Denisot,079 Anthes Lane,1564721,0,1,1034,3326
Nesta Petru,741 Fremont Pass,662332,4,5,2645,1132
Farlee Chazier,830 Eliot Parkway,3414229,0,3,4383,52
Chicky Pandya,36017 Pawling Court,1164316,0,8,4085,1711
Ferrell Taphouse,86987 Mcbride Place,3585257,2,5,3741,932
Romona Kiggel,159 Alpine Lane,1946538,5,1,4283,2759
Jaquenette Trevallion,4 Truax Circle,1621411,1,3,3068,2753
Mayer Serck,53 Forest Hill,1571337,2,6,130,772
Laure Rylance,2999 Arapahoe Terrace,627963,6,1,813,898
Pace Tembridge,37176 Dakota Road,2143405,1,5,1017,1221
Madge Smeall,502 Schmedeman Road,407846,3,7,4115,1754
Morlee Holsall,689 Autumn Leaf Street,415257,7,0,4997,1214
Sibyl Gaywood,299 Riverside Trail,3537090,1,2,2255,1875
Donna Chstney,287 Stoughton Place,3757740,0,5,2836,814
Reilly Errichi,20519 Carpenter Center,4209129,5,0,706,2683
Kevin Fayer,96 Mayfield Pass,382526,7,2,1856,1921
Rickie Staunton,73187 Crownhardt Trail,988289,6,3,1059,2951
Natalina Neligan,9 Maywood Center,2106105,1,0,4513,520
Madge Addeycott,21030 Kennedy Place,3174010,7,6,913,723
Doll Latter,46064 Kensington Court,3124781,7,4,498,2443
Joachim Peyntue,60731 Meadow Vale Parkway,2747669,8,0,839,2834
Stewart Wallentin,7565 Crest Line Pass,2096472,7,8,169,1679
Rip Cookson,65165 Hagan Point,1266714,5,0,4688,614
Reidar Mortimer,4 Roth Court,1778094,7,8,1381,2707
Fifi Jakoviljevic,215 Rockefeller Lane,4869816,0,5,2642,3424
Michal Swatland,10362 Memorial Drive,2035815,6,3,4930,1467
Lilith Middell,8160 Chive Park,1020490,2,8,731,2585
Mersey Whawell,02659 Hagan Junction,1435345,8,4,2025,124
Lotty Nowakowska,827 Portage Court,3224204,2,2,4793,3350
Deeanne Tarney,196 Homewood Street,1737772,7,4,525,2187
Fran Grishkov,99 Meadow Vale Terrace,3089677,0,1,1212,636
Shelly Ware,723 Raven Pass,2899132,5,8,3547,2306
Nanete Firpi,87 Vahlen Pass,4749858,5,6,1132,1629
Del Goodsall,3 Bowman Street,1224751,0,3,240,1766
Clarissa Twiggs,37 Arrowood Way,2453552,8,0,4680,2900
Hanny Killshaw,97639 Forest Run Court,892631,6,2,3124,1149
Merilyn Tacey,4 Lindbergh Pass,2251535,8,6,3052,1671
Rochester Mattheus,8 Declaration Pass,3727503,3,0,3644,3000
Joey Keneleyside,8 Bartillon Place,2186945,6,2,706,1029
Bunnie Sayles,0076 Moose Park,2937807,1,3,3359,3292
Mame Spilsted,27483 Larry Lane,3025238,1,6,2879,3062
Faina Seaward,0935 Surrey Hill,4362549,8,3,3806,304
Jacquenette Leavens,700 Menomonie Pass,1636937,0,5,1485,1150
Enoch Gilleon,9 Little Fleur Pass,2093282,7,0,3740,54
Mia Colisbe,4518 Eliot Court,3334041,0,6,2390,1776
Cirillo Fessby,56 Eagan Alley,3647486,6,1,2621,1944
Sosanna Spata,3971 Blackbird Court,4904047,6,6,3595,3276
Karrie Gillies,49340 Lindbergh Drive,3994511,8,7,981,2025
Hamid Adamou,6 Trailsway Crossing,2621588,5,5,1170,2884
Jayne Marrows,40 Schiller Pass,3787834,2,6,1245,1187
Justin Emblen,53008 Debs Trail,4440763,7,3,3076,1869
Kliment Greatham,30 5th Drive,365362,0,4,893,1860
Taylor Topley,01 Rigney Trail,4464990,8,2,4555,2175
Franklyn Yurinov,99370 Judy Point,3063576,6,8,944,331
Stillman Simonini,4 Bultman Junction,741907,6,4,2362,831
Aleksandr Mcsarry,96 Summerview Alley,4518601,5,4,4415,2223
Con Mileham,5156 Darwin Place,1049284,3,8,2804,164
Essa Tinkham,16 Mayer Road,1315718,0,5,3139,3219
Dominique Currington,47 Sauthoff Pass,4743016,2,1,2009,1971
Merrick Gaishson,2004 Sachs Lane,2240131,7,0,1015,846
Sibbie Tremelling,15 Duke Parkway,487652,0,5,4673,3486
Aluin Smuth,029 Dennis Place,3555158,2,7,3530,2217
Tomaso Streeten,12578 Westport Terrace,1715776,8,5,4851,860
Benedetto Ipsly,54 West Pass,2034713,5,7,691,1991
Ingunna Tonbridge,6 Merrick Circle,3451653,0,3,4103,3093
Mordy Earland,18 Bay Court,1030507,3,1,1708,1623
Fanchon Garnson,33 Brickson Park Trail,1660492,0,0,1496,2626
Lane Roelofsen,2761 Paget Point,3723834,4,1,1574,3382
Bartel Mathonnet,604 Bowman Hill,3832270,8,2,2643,156
Dulcinea Mousby,9730 Commercial Terrace,3669098,6,6,1202,1202
Kendricks Sheering,643 Vera Avenue,3722286,0,2,2151,1907
Lotte Hasell,995 Oxford Alley,1738583,6,1,2399,70
Orbadiah Beake,20 Walton Street,4047896,7,4,3,2533
Heddie Mallett,7483 Nevada Lane,4835737,0,4,4949,1661
Glenda Thorneywork,66238 Coolidge Avenue,439633,4,5,2212,2822
Tye Elverston,50 Parkside Pass,1828969,7,8,4539,2662
Wood Kettles,6245 Novick Street,3859668,0,5,3079,2353
Valaria Harrow,0362 Corry Terrace,653551,2,0,2502,3171
Allister Filchagin,8 Nevada Alley,2805057,5,6,683,3207
Biddy Lowless,4906 Nancy Parkway,2745742,7,0,5467,1675
Stewart Greggor,52009 Harper Alley,4119523,4,3,5055,2043
Efren Pilfold,53 Cottonwood Plaza,4635292,7,0,122,2639
Hernando Penelli,72 Stephen Park,2340187,2,3,3689,3268
Sidnee Battlestone,33019 Elgar Way,2625319,8,8,4521,2038
Charmion Brigshaw,6 Sugar Place,779083,6,2,219,2940
Pepe Spores,55016 Mariners Cove Parkway,3305799,6,3,1562,2870
Cullie Dagnall,77 Northland Pass,1137028,1,1,4253,2941
Syd Belison,904 Mayer Parkway,4934011,6,4,1549,2020
Arnold Maccaig,6172 Boyd Street,3611820,6,5,4997,395
Lily Trevena,3259 Talisman Junction,3795170,7,6,1873,2770
Gregorius Betjeman,9313 Twin Pines Hill,1410453,6,6,2444,2120
Timothy Eva,309 Westport Hill,2716344,0,6,184,1249
Allie McVicker,51 Ohio Parkway,1508574,0,5,2850,2796
Philip Glaserman,1385 Maple Wood Avenue,2690393,3,1,3990,924
Zitella Chessman,69 Lyons Lane,2818117,5,4,2892,2419
Galina Parry,483 Erie Road,2901797,0,2,4334,894
Julie Blesing,5 Little Fleur Lane,2988474,7,7,2386,588
Van Ballam,55584 Pearson Hill,1316838,0,7,1363,1811
Bran McBean,575 Petterle Crossing,2563694,8,3,1975,1562
Tammy Frape,54661 Bowman Junction,2700290,3,6,2517,2628
Lewes Parrett,48008 Esker Trail,763849,7,3,1574,2299
Mohammed Barefoot,2 Armistice Terrace,3145547,3,8,3015,1523
Clayton Fahy,027 Sauthoff Circle,1698393,0,3,4401,234
Allen Murdy,26994 Pawling Park,3511849,2,4,355,2805
Bridie Bellino,0309 Judy Drive,3060749,7,3,3961,2956
Mercie Scottini,70669 Helena Hill,4339575,2,1,3112,1908
Ewan Heys,3261 Bonner Lane,4599069,7,1,139,2404
Tripp Suarez,22933 Main Hill,3932559,2,2,1599,2398
Sylas Drane,63930 Little Fleur Point,4967881,3,5,3428,2056
Darby MacDonald,60 Oneill Court,3789450,3,1,179,2251
Winna McElroy,72712 Darwin Parkway,2517961,4,7,4614,3108
Lela Bedham,9 Claremont Pass,1849759,7,2,2547,2842
Korrie Seson,20 Killdeer Park,825687,7,8,4388,1590
Philippa Martinat,23639 Tomscot Plaza,4061247,6,2,4839,3052
Griffin Zannelli,03724 Marquette Road,3635881,8,3,5024,277
Tatiania Brunicke,9 Sugar Hill,4708835,2,7,948,1469
Ardys Ivatts,42528 Grover Plaza,4634733,3,0,1925,1962
Oona Middup,17645 Swallow Point,999290,8,5,3194,2131
Witty Gapp,9 Mosinee Junction,2255622,2,1,1259,1741
Daryl Brabbins,4565 Coolidge Parkway,2646574,2,0,3337,2813
Fenelia Lindop,63 Sachs Parkway,703521,2,0,3160,735
Zebedee Nolte,1 Cascade Parkway,724395,4,1,1005,643
Nert Alldread,1 Hoard Avenue,4055129,2,6,3192,2415
Ulrika Stampfer,92 Oak Valley Alley,683978,6,5,1567,2888
Ab Crinion,935 Waubesa Park,3673226,6,1,5182,2057
Elwin Rawlins,1915 Old Gate Alley,4651446,1,7,4812,183
Henka Harverson,636 Mandrake Junction,313912,4,3,1627,2766
Kathye Lacer,3 Gateway Crossing,1857101,6,1,2767,968
Allys Heiner,0 Anthes Road,1903611,6,3,1877,3172
Yolande Chree,61698 Pepper Wood Court,2642642,5,3,4555,1690
Wilona Donoher,1 Loeprich Pass,793918,3,2,2363,651
Claire Boule,6902 Barby Street,1878885,0,3,2090,982
Denyse Mozzetti,52 Anhalt Parkway,1483266,6,8,2108,2235
Valera Pummery,501 Lake View Circle,2842702,6,0,1220,529
Worthington Enden,81807 Old Shore Hill,3899259,5,6,3042,1062
Waylen Breens,5 Coleman Center,2321692,4,5,1037,2491
Jean Fust,4 Mosinee Center,2840267,7,8,232,1381
Doralynne Goldin,7 Northview Court,4714811,2,5,5462,3408
Cathi Giacomuzzo,31 Pond Hill,4342966,5,8,2836,1654
Blayne Morecomb,39 Boyd Avenue,1165424,0,3,3454,323
Bernarr Arpur,4716 Sundown Drive,2390351,1,6,2287,3079
Faith Flight,9159 Vidon Pass,4226219,6,5,4317,1380
Pierrette Wyss,86 Golf Course Circle,1122826,2,8,2778,2566
Arlee Habbal,5 Randy Drive,1229986,1,2,4197,762
Lyndell Patesel,0992 Myrtle Parkway,1689989,4,0,2149,2409
Janeen Raubenheim,81 Dennis Plaza,574548,6,0,1562,1683
Adda Barfoot,60 Alpine Crossing,2728534,3,0,2097,2836
Yoshi Hember,60 Scott Plaza,3560339,2,1,618,1814
Nichole Tigner,5607 Valley Edge Plaza,3969175,8,7,2455,2704
Bradney Cakebread,8358 Di Loreto Hill,1325765,5,7,782,2124
Ange Libbie,43 Marcy Way,1876587,0,2,3130,3454
Carroll Learoid,4 Barby Crossing,1441714,3,7,327,1420
Roderic Procter,04106 Jay Junction,1787874,7,8,4552,1185
Arte Suttle,15787 Nova Circle,4969189,0,0,1167,2917
Belita Stuehmeyer,76411 Anniversary Place,4275481,1,6,5,2262
Clemens Wither,18112 Old Shore Street,1257211,6,8,4787,2123
Rolfe Whellams,964 Charing Cross Court,1908283,3,3,1856,905
Ignacio Conan,8 Manley Terrace,2840504,1,2,2754,3488
Josepha Cleave,740 Lakewood Road,390762,0,4,4606,3381
Robbie Jamme,761 Pennsylvania Court,2540264,0,2,2166,1227
Hali Offa,309 Muir Crossing,2709515,6,5,2054,3037
Abbott Abrahamowitcz,7 Rowland Circle,1989126,7,3,919,1058
Verina Cardoso,86098 American Plaza,583323,1,6,1222,1465
Devin Arnaut,33682 Hagan Lane,1585645,3,3,1446,2748
Nicolina Seyers,907 Fair Oaks Terrace,3213335,1,2,4944,1621
Garv Silversmidt,88 Mallory Place,2907990,8,4,1052,0
Lilly Doale,57 Springview Crossing,2254626,4,5,3048,259
Jarrod Mazillius,21 Norway Maple Place,2398569,6,0,3304,2805
Carson Andrichak,000 Delladonna Street,678581,8,2,4158,1090
Osmund Stavers,78792 Lotheville Lane,1370266,1,1,5156,1441
Darla Ivakin,15 Crowley Crossing,2002368,3,0,4582,2061
Rowland Keepence,755 Florence Street,2881577,8,0,2927,1163
Blake Louw,3 Anniversary Place,4207943,3,4,3496,736
Meyer Hutchinges,2726 Chive Center,2046138,8,2,319,3276
Briney Zanotti,792 International Center,2188373,7,3,4932,1773
Jaclyn Meddemmen,41485 Fordem Drive,435942,0,4,5029,2818
Victoir Cassam,189 Cardinal Plaza,4500681,7,5,1036,3172
Gretel Episcopi,841 Logan Circle,438629,8,2,101,939
Rey Demcak,36 Browning Point,3215247,8,7,3956,163
Bax Levay,2161 Hooker Place,2142152,1,7,3132,1406
Clint Chezier,9 Straubel Avenue,3057791,0,4,441,1114
Darbie Davisson,9390 Oriole Park,1751950,2,5,4059,84
Erick Brockhurst,11230 West Lane,3870277,5,8,4701,2124
Letizia Pegden,133 Warner Plaza,826321,2,3,2359,2628
Zita Waplinton,84166 3rd Parkway,4467276,0,3,1270,3165
Drucy Perfitt,80079 Welch Pass,368459,4,0,819,564
Hakim Filmer,0307 Pearson Avenue,3592836,6,0,4254,294
Karon Crauford,4679 Rockefeller Parkway,2992135,5,0,2899,3177
Donnajean Birdwhistell,5 Laurel Lane,2049886,5,5,2983,958
Timothee Heintze,77 Warbler Park,740817,5,2,5451,1612
Iago Wattisham,40367 8th Terrace,4952243,8,8,5380,2444
Tarra Salmoni,7419 Springview Circle,1520429,4,1,245,684
Ollie Northcott,82295 Loeprich Park,1012767,5,5,5345,2870
Farrand Delagua,62 2nd Hill,1010260,1,0,2579,2470
